idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,teu,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
788883,BRCDO,101,Cabedelo,2016,ago,Marinha,"Apoio Portuário","Cais Público",0,"0,083333333430346","0,083333333255723","20,000000000058","0,16666666668607","20,25","20,33333333343",17880751,BRIQI,BRCDO,2710,"Granel Líquido e Gasoso",0,0,"2000,899",Desembarcados,"",""
751889,BRBEL,BELM201,"Belém",2016,mar,"Movimentação da Carga",Cabotagem,"Terminal de Miramar",2,0,"2,25","30,250000000116","2,25","34,750000000116","34,750000000116",16157250,BRSSA,BRBEL,2710,"Granel Líquido e Gasoso",0,0,"6213,304",Desembarcados,"",""
751889,BRBEL,BELM201,"Belém",2016,mar,"Movimentação da Carga",Cabotagem,"Terminal de Miramar",2,0,"2,25","30,250000000116","2,25","34,750000000116","34,750000000116",16157251,BRBEL,BRBEL,CA01,"Granel Líquido e Gasoso",0,0,109,Embarcados,"",""
797313,BRSE002,"Quadro de Bóias","Terminal Aquaviário de Aracaju",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Aracaju",1,"29,000000000058","1,3999999998487","11,800000000047","8,0000000000582","21,199999999953","50,200000000012",17416470,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"12329,332",Embarcados,"",""
794159,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,set,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,2999999998719","2,2999999999884","55,800000000105","2,5999999999185","60,700000000012","61,999999999884",17344434,BRFOR,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"13449,126",Desembarcados,"",""
794159,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,set,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,2999999998719","2,2999999999884","55,800000000105","2,5999999999185","60,700000000012","61,999999999884",17344435,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"17187,06",Desembarcados,"",""
794200,BRSE002,"Quadro de Bóias","Terminal Aquaviário de Aracaju",2016,set,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Aracaju",1,"16,300000000047","2,4999999999418","15,29999999993","3,6000000000349","21,399999999907","37,699999999953",17344478,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"17307,994",Embarcados,"",""
761217,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,mar,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"38,000000000058","2,7999999998719","19,400000000023","2,8000000000466","24,999999999942",63,16367646,BRBA003,BRAM011,2710,"Granel Líquido e Gasoso",0,0,"6468,03",Desembarcados,"",""
794196,BRSE002,"Quadro de Bóias","Terminal Aquaviário de Aracaju",2016,set,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Aracaju",1,"7,2000000000698","4,1000000000931","16,299999999872","2,8000000000466","23,200000000012","30,400000000081",17344471,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"17229,495",Embarcados,"",""
800553,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,5999999999767","4,0999999999185","44,299999999988","2,4000000001397","50,800000000047","52,400000000023",17551294,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"7939,357",Desembarcados,"",""
800553,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,5999999999767","4,0999999999185","44,299999999988","2,4000000001397","50,800000000047","52,400000000023",17551295,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"13255,287",Desembarcados,"",""
800553,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,5999999999767","4,0999999999185","44,299999999988","2,4000000001397","50,800000000047","52,400000000023",17551296,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"4338,81",Desembarcados,"",""
800553,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,5999999999767","4,0999999999185","44,299999999988","2,4000000001397","50,800000000047","52,400000000023",17551297,BRFOR,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"335,143",Desembarcados,"",""
784016,BRBEL,BELM201,"Belém",2016,ago,"Movimentação da Carga",Cabotagem,"Terminal de Miramar",2,0,"1,3333333333139","24,499999999884","8,4166666666861","34,249999999884","34,249999999884",17013657,BRMAO,BRBEL,2710,"Granel Líquido e Gasoso",0,0,"4046,601",Desembarcados,"",""
784016,BRBEL,BELM201,"Belém",2016,ago,"Movimentação da Carga",Cabotagem,"Terminal de Miramar",2,0,"1,3333333333139","24,499999999884","8,4166666666861","34,249999999884","34,249999999884",17013658,BRBEL,BRBEL,CA01,"Granel Líquido e Gasoso",0,0,"631,63",Embarcados,"",""
784016,BRBEL,BELM201,"Belém",2016,ago,"Movimentação da Carga",Cabotagem,"Terminal de Miramar",2,0,"1,3333333333139","24,499999999884","8,4166666666861","34,249999999884","34,249999999884",17013659,BRBEL,BRBEL,CA01,"Carga Geral",0,0,"2,881",Embarcados,"",""
802142,BRES008,"Monobóia","Terminal Aquaviário do Norte Capixaba",2016,dez,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário do Norte Capixaba",2,"2,4999999999418","4,0999999999185","17,200000000012","4,5","25,79999999993","28,299999999872",17575382,BRES008,BRSUA,2709,"Granel Líquido e Gasoso",0,0,"17199,337",Embarcados,"",""
811514,BRBA003,PP-4,"Terminal Aquaviário de Madre de Deus",2016,dez,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Madre de Deus",1,"10,100000000093","3,7999999998137","23,300000000163","4,7166666666744","31,816666666651","41,916666666744",17876887,BRNAT,BRBA003,2709,"Granel Líquido e Gasoso",0,0,"17489,191",Desembarcados,"",""
811514,BRBA003,PP-4,"Terminal Aquaviário de Madre de Deus",2016,dez,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Madre de Deus",1,"10,100000000093","3,7999999998137","23,300000000163","4,7166666666744","31,816666666651","41,916666666744",17876888,BRNAT,BRBA003,2709,"Granel Líquido e Gasoso",0,0,"5764,619",Desembarcados,"",""
801565,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,4000000000233","2,4999999999418","33,600000000035","2,9166666667443","39,016666666721","40,416666666744",17562031,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"11234,506",Desembarcados,"",""
801565,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,out,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,4000000000233","2,4999999999418","33,600000000035","2,9166666667443","39,016666666721","40,416666666744",17562032,BRFOR,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"6701,098",Desembarcados,"",""
788167,BRSE002,"Quadro de Bóias","Terminal Aquaviário de Aracaju",2016,ago,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Aracaju",1,"18,399999999907","2,2999999999884","14,100000000035","3,2999999999302","19,699999999953","38,09999999986",17126683,BRSE002,BRAM011,2709,"Granel Líquido e Gasoso",0,0,"15739,843",Embarcados,"",""
783102,BRAM011,"POF 3","Terminal Aquaviário de Manaus",2016,jul,"Movimentação da Carga",Cabotagem,"Terminal Aquaviário de Manaus",1,"1,1999999998952","4,0000000001164","44,299999999988","1,2999999998719","49,599999999977","50,799999999872",17001291,BRSE002,BRAM011,2710,"Granel Líquido e Gasoso",0,0,"25367,279",Desembarcados,"",""
808723,BRSUA,"Pier de Granéis Líquidos 3 - A",Suape,2016,dez,"Movimentação da Carga",Cabotagem,"Píer de Graneis Líquidos 3A",1,"60,816666666709","4,1833333333489","32,800000000047","5,5666666666511","42,550000000047","103,36666666676",17797891,BRES008,BRSUA,2709,"Granel Líquido e Gasoso",0,0,34511,Desembarcados,"",""
754727,BRSUA,"Pier de Granéis Líquidos 2 - Berço Oeste",Suape,2016,fev,"Movimentação da Carga",Cabotagem,"Píer de Graneis Líquidos 2",1,"0,1500000001397","9,9833333332208","26,200000000012","4,1500000000815","40,333333333314","40,483333333454",16201621,BRSUA,BRARB,2710,"Granel Líquido e Gasoso",0,0,16843,Embarcados,"",""
